TVD,SP,DGA,QT,DEV,TENS,RT1,POR,RA45,PE,M4R2,GR,AC,QCAL
2591.498,16.958,2.978,0.183,35.25,1326.663,2.553,11.749,0.882,6.192,1.276,115.156,349.701,0.997
2591.6,16.885,2.992,0.188,35.228,1324.571,2.547,11.442,0.898,6.26,1.279,112.866,352.737,0.997
2591.702,16.819,3,0.188,35.197,1324.571,2.54,11.414,0.903,6.349,1.284,108.538,349.734,0.997
2591.804,16.768,3,0.188,35.197,1325.966,2.543,11.298,0.902,6.415,1.288,111.137,342.916,0.997
2591.907,16.728,2.996,0.189,35.203,1326.663,2.549,11.068,0.895,6.383,1.293,110.137,338.656,0.997
2592.009,16.74,2.989,0.189,35.197,1325.966,2.554,11.02,0.873,6.247,1.297,109.174,337.844,0.996
2592.111,16.769,2.983,0.19,35.164,1322.48,2.572,11.122,0.87,6.152,1.3,108.286,338.512,0.996
2592.213,16.812,2.979,0.19,35.15,1319.691,2.586,11.502,0.877,6.12,1.301,107.788,340.251,0.996
2592.315,16.931,2.982,0.191,35.133,1315.509,2.603,11.956,0.89,6.117,1.3,108.208,341.028,0.996
2592.417,17.006,2.991,0.194,35.119,1312.023,2.616,12.613,0.917,6.249,1.296,109.469,339.568,0.996
2592.52,17.091,3,0.197,35.114,1306.446,2.635,12.982,0.922,6.521,1.29,110.755,337.524,0.996
2592.622,17.186,3,0.199,35.108,1305.052,2.64,13.21,0.92,6.746,1.283,107.688,336.855,0.996
2592.724,17.397,3,0.201,35.103,1307.84,2.636,12.892,0.905,6.777,1.274,105.759,337.587,0.996
2592.826,17.512,2.99,0.204,35.1,1312.72,2.629,12.052,0.876,6.809,1.266,104.134,339.704,0.996
2592.928,17.632,2.981,0.206,35.114,1315.509,2.599,12.066,0.866,6.801,1.257,104.049,343.548,0.996
2593.031,17.755,2.98,0.208,35.125,1314.811,2.579,12.631,0.861,6.571,1.249,104.436,347.999,0.996
2593.133,16.466,2.978,0.209,35.125,1314.114,2.553,13.926,0.855,6.284,1.24,103.968,350.748,0.996
2593.235,16.508,2.968,0.211,35.108,1312.72,2.524,15.044,0.831,6.181,1.231,103.186,353.093,0.996
2593.337,16.552,2.959,0.212,35.058,1305.052,2.468,15.867,0.814,6.234,1.222,103.925,357.382,0.996
2593.44,16.641,2.962,0.214,35.047,1302.96,2.444,15.907,0.802,6.394,1.215,106.537,360.479,0.996
2593.542,16.685,2.972,0.215,35.047,1303.657,2.422,15.951,0.799,5.016,1.208,110.114,359.379,0.996
2593.644,16.727,2.973,0.217,35.05,1306.446,2.403,16.14,0.816,5.242,1.204,113.087,356.139,0.996
2593.747,16.768,2.964,0.218,35.078,1311.326,2.371,16.247,0.833,5.681,1.203,114.378,354.048,0.996
2593.849,16.836,2.958,0.213,35.117,1314.811,2.358,16.888,0.846,6.173,1.205,113.053,352.626,0.996
2593.951,16.859,2.965,0.209,35.158,1316.903,2.349,17.642,0.851,6.468,1.209,109.701,352.937,0.996
2594.053,16.875,2.973,0.204,35.2,1317.6,2.345,18.736,0.841,6.452,1.215,106.554,356.954,0.996
2594.156,16.884,2.969,0.2,35.242,1318.297,2.347,19.129,0.837,6.163,1.223,105.577,364.4,0.996
2594.258,17.701,2.951,0.195,35.25,1315.509,2.352,18.252,0.844,5.797,1.231,106.336,369.128,0.996
2594.36,17.73,2.937,0.191,35.253,1312.72,2.362,16.631,0.86,5.54,1.24,107.496,363.712,0.996
2594.462,17.754,2.934,0.186,35.25,1309.931,2.385,14.705,0.908,5.503,1.249,108.316,347.604,0.996
2594.564,17.777,2.931,0.182,35.244,1311.326,2.456,13.396,0.925,5.611,1.256,108.848,330.404,0.996
2594.667,17.844,2.917,0.185,35.244,1311.326,2.505,12.612,0.935,5.802,1.263,109.259,315.541,0.996
2594.769,17.89,2.893,0.188,35.247,1312.023,2.56,12.111,0.937,6.784,1.269,109.636,305.355,0.996
2594.871,17.94,2.879,0.191,35.253,1315.509,2.614,12,0.928,6.729,1.274,109.624,305.896,0.996
2594.973,17.99,2.885,0.194,35.255,1318.297,2.713,11.935,0.93,6.726,1.278,108.993,316.282,0.996
2595.075,18.079,2.901,0.197,35.247,1314.811,2.749,11.921,0.934,6.769,1.28,108.615,327.785,0.996
2595.177,18.117,2.916,0.2,35.23,1310.629,2.774,11.698,0.943,6.799,1.279,109.563,335.428,0.994
2595.279,18.154,2.93,0.203,35.2,1307.84,2.783,11.966,0.943,6.752,1.278,111.484,339.563,0.994
2595.381,18.195,2.941,0.207,35.139,1310.629,2.768,12.609,0.93,6.729,1.274,112.776,340.904,0.994
2595.483,18.288,2.948,0.209,35.128,1312.72,2.752,13.706,0.913,6.858,1.269,112.759,340.206,0.994
2595.585,18.331,2.95,0.211,35.128,1316.206,2.737,14.876,0.896,6.998,1.262,112.673,338.688,0.994
2595.688,18.361,2.953,0.213,35.133,1321.783,2.725,15.135,0.879,7.012,1.254,113.79,338.191,0.994
2595.79,18.37,2.952,0.215,35.167,1332.937,2.704,14.189,0.88,6.985,1.244,116.427,338.68,0.994
2595.892,18.32,2.941,0.217,35.189,1333.634,2.696,12.646,0.887,7.01,1.232,119.362,339.948,0.994
2595.994,18.265,2.931,0.219,35.208,1330.846,2.693,11.114,0.891,7.036,1.218,121.804,342.366,0.994
2596.096,18.193,2.934,0.221,35.219,1325.269,2.687,9.936,0.886,6.972,1.202,123.095,345.097,0.994
2596.198,18.109,2.952,0.223,35.219,1314.811,2.686,9.506,0.878,6.91,1.185,122.951,346.167,0.994
2596.301,17.919,2.966,0.217,35.211,1311.326,2.694,9.599,0.867,6.913,1.169,121.018,345.739,0.994
2596.403,17.821,2.968,0.21,35.203,1308.537,2.708,9.822,0.861,6.915,1.156,118.267,344.745,0.994
2596.505,17.724,2.964,0.204,35.197,1307.84,2.727,10.09,0.869,6.895,1.145,116.389,343.723,0.994
2596.607,17.631,2.963,0.197,35.194,1312.72,2.772,10.736,0.871,6.89,1.136,115.72,343.343,0.994
2596.709,17.464,2.967,0.191,35.194,1315.509,2.795,11.2,0.872,6.912,1.129,115.74,343.958,0.994
2596.811,17.39,2.971,0.184,35.197,1316.206,2.814,11.786,0.871,6.929,1.124,115.939,345.217,0.994
2596.914,17.325,2.969,0.178,35.203,1314.811,2.829,12.389,0.879,6.915,1.119,115.802,346.604,0.994
2597.016,17.27,2.959,0.171,35.203,1312.72,2.836,12.609,0.871,6.879,1.115,115.363,348.188,0.994
2597.118,17.201,2.954,0.178,35.2,1309.234,2.829,12.45,0.879,6.846,1.113,114.468,351.494,0.994
2597.22,17.189,2.964,0.185,35.186,1304.354,2.81,12.491,0.887,6.838,1.112,112.489,356.478,0.994
2597.322,17.89,2.979,0.192,35.164,1301.566,2.79,13.676,0.885,6.855,1.112,109.745,359.618,0.994
2597.424,17.94,2.978,0.199,35.144,1303.657,2.751,15.47,0.864,6.877,1.114,107.67,358.921,0.994
2597.526,17.99,2.959,0.205,35.153,1305.052,2.732,17.44,0.852,6.88,1.116,108.875,355.85,0.994
2597.629,18.079,2.94,0.212,35.172,1305.052,2.711,19.358,0.851,6.875,1.118,112.274,351.745,0.994
2597.731,18.117,2.937,0.219,35.192,1306.446,2.694,20.432,0.857,6.905,1.12,115.247,348.083,0.994
2597.833,18.154,2.947,0.226,35.208,1309.234,2.657,20.801,0.89,6.939,1.121,116.564,347.02,0.994
2597.935,18.195,2.958,0.23,35.217,1307.84,2.635,15.541,0.9,6.838,1.12,116.763,348.909,0.994
2598.037,18.288,2.964,0.233,35.219,1305.749,2.613,13.559,0.904,6.772,1.117,115.812,351.549,0.994
2598.139,18.331,2.968,0.237,35.214,1303.657,2.594,12.796,0.905,6.788,1.111,113.597,352.328,0.994
2598.242,18.361,2.97,0.241,35.2,1302.96,2.568,12.323,0.891,6.785,1.103,110.986,349.449,0.994
2598.344,18.37,2.966,0.245,35.186,1302.96,2.565,11.824,0.891,6.777,1.093,110.053,343.85,0.994
2598.446,18.32,2.958,0.248,35.175,1302.96,2.569,11.524,0.898,6.798,1.083,111.029,339.338,0.994
2598.548,18.265,2.957,0.252,35.178,1304.354,2.577,11.376,0.913,6.803,1.074,112.694,338.126,0.994
2598.65,18.193,2.963,0.256,35.183,1304.354,2.592,11.387,0.94,6.73,1.068,111.103,339.123,0.994
2598.752,18.109,2.964,0.255,35.192,1304.354,2.601,11.141,0.942,6.619,1.065,110.871,341.156,0.994
2598.854,17.919,2.951,0.253,35.205,1304.354,2.606,11.152,0.936,6.497,1.067,108.856,343.835,0.994
2598.957,17.821,2.932,0.252,35.214,1305.052,2.61,11.316,0.921,6.357,1.074,107.206,346.027,0.994
2599.059,17.724,2.926,0.25,35.189,1307.143,2.625,11.64,0.909,6.251,1.087,106.929,347.069,0.994
2599.161,17.631,2.934,0.249,35.169,1308.537,2.637,11.749,0.914,6.233,1.107,100.758,347.211,0.994
2599.263,17.464,2.953,0.247,35.153,1308.537,2.651,11.442,0.927,6.243,1.133,103.792,346.046,0.994
2599.365,17.39,2.963,0.246,35.144,1309.931,2.666,11.414,0.941,6.253,1.164,111.103,343.214,0.994
2599.467,17.325,2.952,0.245,35.155,1312.023,2.702,11.298,0.955,6.281,1.2,110.871,339.838,0.994
2599.57,17.27,2.925,0.241,35.167,1313.417,2.717,11.068,0.952,6.314,1.265,108.856,336.637,0.994
2599.672,17.201,2.91,0.237,35.169,1314.114,2.734,11.02,0.95,6.347,1.241,107.206,334.084,0.994
2599.774,17.189,2.909,0.234,35.172,1314.114,2.75,11.122,0.951,6.47,1.215,106.929,333.819,0.994
2599.876,18.117,2.918,0.23,35.197,1314.114,2.774,11.502,0.966,6.755,1.19,97.768,336.221,0.994
2599.978,18.154,2.932,0.227,35.203,1312.023,2.779,11.956,0.976,7.126,1.168,100.499,339.801,0.994
2600.081,18.195,2.944,0.223,35.203,1309.234,2.779,12.613,0.974,7.466,1.149,102.396,342.618,0.994
2600.183,18.288,2.95,0.22,35.194,1307.84,2.777,12.982,0.967,7.635,1.136,103.406,343.976,0.994
2600.285,18.331,2.95,0.216,35.161,1314.114,2.768,13.21,0.933,7.535,1.127,103.398,343.833,0.994
2600.387,18.361,2.944,0.216,35.161,1321.086,2.764,12.892,0.919,7.233,1.122,102.435,343.202,0.994
2600.489,18.37,2.938,0.216,35.172,1328.057,2.761,12.052,0.911,6.939,1.12,101.523,342.581,0.994
2600.591,18.32,2.936,0.216,35.186,1334.331,2.761,12.066,0.909,6.815,1.117,101.107,342.324,0.994
2600.694,18.265,2.936,0.216,35.183,1337.12,2.764,12.631,0.922,6.859,1.114,101.081,342.653,0.994
2600.796,18.193,2.942,0.216,35.175,1335.726,2.764,13.926,0.923,6.919,1.11,102.127,343.201,0.994
2600.898,18.109,2.96,0.216,35.167,1330.149,2.765,15.044,0.92,6.952,1.106,104.941,343.441,0.994
2601,17.919,2.986,0.216,35.164,1321.783,2.763,15.867,0.91,6.991,1.288,108.802,343.427,0.994
2601.102,17.821,3,0.216,35.133,1308.537,2.759,15.907,0.895,6.996,1.265,111.103,342.775,0.994
2601.204,17.724,3,0.215,35.117,1307.143,2.76,15.951,0.893,6.961,1.241,110.871,341.401,0.994
2601.307,17.631,2.987,0.213,35.1,1308.537,2.763,16.14,0.899,6.949,1.215,108.856,340.139,0.994
2601.409,17.464,2.975,0.212,35.094,1308.537,2.765,16.247,0.913,6.99,1.19,107.206,339.165,0.994
2601.511,17.39,2.974,0.211,35.089,1313.417,2.769,16.888,0.917,7.051,1.168,106.929,337.691,0.994
2601.613,17.325,2.977,0.209,35.083,1315.509,2.77,17.642,0.912,7.071,1.149,107.408,335.954,0.994
2601.716,17.27,2.976,0.208,35.086,1316.206,2.77,18.736,0.904,7.025,1.136,107.217,334.88,0.994
2601.818,17.201,2.973,0.206,35.097,1316.206,2.769,19.129,0.899,6.922,1.127,106.781,334.542,0.994
2601.92,17.189,2.976,0.205,35.122,1316.206,2.762,18.252,0.911,6.776,1.122,107.243,334.904,0.994
2602.022,16.388,2.982,0.198,35.133,1316.206,2.758,16.631,0.925,6.631,1.12,108.107,336.142,0.994
2602.125,16.431,2.979,0.192,35.142,1316.206,2.752,14.705,0.937,6.561,1.117,107.688,338.274,0.994
2602.227,16.466,2.966,0.185,35.147,1316.206,2.744,13.396,0.944,6.559,1.114,105.759,341.232,0.994
2602.329,16.508,2.955,0.178,35.164,1318.297,2.718,12.612,0.935,6.567,1.11,104.134,343.89,0.994
2602.431,16.552,2.955,0.172,35.158,1318.994,2.7,12.111,0.918,6.55,1.106,104.049,345.206,0.994
2602.533,16.641,2.957,0.165,35.15,1319.691,2.682,12,0.904,6.513,1.102,104.436,345.064,0.994
2602.636,16.685,2.954,0.158,35.15,1318.297,2.664,11.935,0.898,6.469,1.1,103.968,343.964,0.994
2602.738,16.727,2.949,0.152,35.15,1315.509,2.626,11.921,0.9,6.437,1.104,103.186,342.685,0.994
2602.84,16.768,2.954,0.158,35.15,1312.023,2.604,11.698,0.9,6.432,1.117,103.925,342.954,0.994
2602.942,16.836,2.971,0.164,35.15,1307.84,2.581,11.966,0.894,6.442,1.138,106.537,344.129,0.994
2603.045,16.859,2.995,0.17,35.15,1304.354,2.558,12.609,0.894,6.411,1.167,110.114,344.406,0.994
2603.147,16.875,3,0.176,35.15,1302.263,2.518,13.706,0.892,6.308,1.203,113.087,343.364,0.994
2603.249,16.884,3,0.182,35.15,1303.657,2.5,14.876,0.899,6.181,1.239,114.378,341.078,0.994
2603.351,16.899,3,0.188,35.15,1307.143,2.483,15.135,0.906,6.08,1.268,113.053,336.639,0.994
2603.453,16.91,2.993,0.194,35.15,1312.023,2.467,14.189,0.92,6.029,1.281,109.701,331.868,0.994
2603.556,16.927,2.971,0.2,35.15,1315.509,2.443,12.646,0.938,6.029,1.276,106.554,329.313,0.994
2603.658,16.949,2.965,0.2,35.15,1317.6,2.432,11.114,0.936,6.05,1.253,105.577,328.201,0.994
2603.76,16.996,2.97,0.2,35.15,1319.691,2.422,9.936,0.928,6.061,1.22,106.336,326.614,0.994
2603.862,17.018,2.977,0.2,35.15,1320.389,2.414,9.506,0.917,6.059,1.185,107.496,324.964,0.994
2603.964,17.039,2.983,0.2,35.15,1322.48,2.405,9.599,0.906,6.06,1.154,108.316,323.075,0.994
2604.067,17.058,2.987,0.2,35.15,1326.663,2.407,9.822,0.91,6.068,1.133,108.848,320.623,0.994
2604.169,17.099,2.989,0.2,35.15,1328.754,2.413,10.09,0.919,6.075,1.123,109.259,318.929,0.994
2604.271,17.122,2.992,0.2,35.15,1327.36,2.422,10.736,0.923,6.074,1.123,109.636,318.953,0.994
2604.373,17.144,2.992,0.2,35.128,1320.389,2.444,11.2,0.914,6.084,1.133,109.624,320.234,0.994
2604.475,17.165,2.988,0.192,35.128,1316.206,2.461,11.786,0.902,6.123,1.151,108.993,323,0.994
2604.578,17.202,2.985,0.184,35.13,1312.72,2.483,12.389,0.892,6.144,1.172,108.615,326.251,0.994
2604.68,17.215,2.992,0.176,35.142,1309.931,2.51,12.609,0.887,6.135,1.195,109.563,328.74,0.994
2604.782,17.227,3,0.168,35.167,1310.629,2.581,12.45,0.896,6.122,1.217,111.484,329.728,0.995
2604.884,17.236,3,0.16,35.178,1311.326,2.617,12.491,0.9,6.105,1.238,112.776,328.747,0.995
2604.987,17.253,3,0.151,35.194,1314.114,2.651,13.676,0.9,6.072,1.256,112.759,327.441,0.995
2605.089,17.265,3,0.143,35.2,1316.903,2.683,15.47,0.894,5.994,1.271,112.673,327.887,0.994
2605.191,17.285,3,0.135,35.208,1317.6,2.727,17.44,0.877,5.892,1.285,113.79,329.788,0.994
2605.293,17.315,3,0.137,35.222,1317.6,2.735,19.358,0.872,5.84,1.296,116.427,332.476,0.994
2605.395,17.414,3,0.14,35.244,1318.297,2.733,20.432,0.874,5.872,1.302,119.362,335.706,0.994
2605.497,17.479,3,0.142,35.264,1321.086,2.725,20.801,0.877,5.936,1.306,121.804,338.25,0.995
2605.6,17.546,3,0.145,35.283,1319.691,2.688,15.541,0.886,5.973,1.302,123.095,340.172,0.995
2605.702,17.608,3,0.147,35.272,1316.903,2.666,13.559,0.883,5.989,1.294,122.951,342.109,0.994
2605.804,17.701,3,0.149,35.25,1314.114,2.644,12.796,0.875,5.997,1.28,121.018,342.735,0.994
2605.906,17.73,3,0.152,35.214,1310.629,2.621,12.323,0.861,5.983,1.262,118.267,342.057,0.994
2606.008,17.754,3,0.154,35.136,1305.749,2.578,11.824,0.846,5.911,1.244,116.389,341.388,0.995
2606.11,17.777,3,0.154,35.1,1305.749,2.555,11.524,0.85,5.726,1.226,115.72,339.849,0.995
2606.212,17.844,3,0.154,35.08,1307.84,2.532,11.376,0.86,5.549,1.214,115.74,338.045,0.995
2606.314,17.89,3,0.154,35.072,1312.023,2.51,11.387,0.866,5.646,1.205,115.939,339.048,0.995
2606.416,17.94,3,0.154,35.044,1320.389,2.467,11.141,0.865,6.067,1.201,115.802,342.846,0.995
2606.519,17.99,3,0.154,35.033,1321.783,2.446,11.152,0.86,6.53,1.2,115.363,345.621,0.995
2606.621,18.079,3,0.154,35.033,1320.389,2.427,11.316,0.852,6.795,1.2,114.468,344.923,0.995
2606.723,18.117,3,0.154,35.042,1317.6,2.41,11.64,0.852,6.877,1.201,112.489,341.566,0.995
2606.825,18.154,2.993,0.154,35.053,1312.023,2.381,11.749,0.868,6.86,1.2,109.745,337.024,0.995
2606.928,18.195,2.979,0.154,35.055,1309.234,2.371,11.442,0.878,6.688,1.197,107.67,332.712,0.995
2607.03,18.288,2.987,0.153,35.058,1309.234,2.359,11.414,0.88,6.334,1.193,108.875,330.905,0.995
2607.133,18.331,3,0.153,35.078,1311.326,2.344,11.298,0.875,5.967,1.188,112.274,333.31,0.995
2607.235,18.361,3,0.153,35.153,1316.206,2.306,11.068,0.837,5.754,1.18,115.247,339.873,0.995
2607.337,18.37,3,0.153,35.18,1318.297,2.287,11.02,0.818,5.792,1.171,116.564,347.041,0.995
2607.44,18.32,3,0.152,35.189,1318.994,2.269,11.122,0.804,6.12,1.16,116.763,351.625,0.995
2607.542,18.265,3,0.152,35.192,1318.297,2.25,11.502,0.798,6.672,1.146,115.812,354.239,0.995
2607.644,18.193,3,0.152,35.18,1312.023,2.218,11.956,0.808,7.219,1.131,113.597,355.55,0.995
2607.746,18.109,3,0.152,35.172,1310.629,2.203,12.613,0.81,7.479,1.116,110.986,355.312,0.995
2607.848,17.919,2.995,0.151,35.164,1310.629,2.19,12.982,0.806,7.326,1.101,110.053,354.481,0.996
2607.95,17.821,3,0.151,35.155,1312.023,2.18,13.21,0.796,6.84,1.089,111.029,352.737,0.996
2608.053,17.724,3,0.151,35.144,1320.389,2.16,12.892,0.783,6.28,1.08,112.694,348.813,0.996
2608.155,17.631,3,0.15,35.144,1325.966,2.153,12.052,0.796,5.893,1.073,113.024,342.778,0.995
2608.257,17.464,3,0.15,35.147,1332.937,2.148,12.066,0.816,5.802,1.07,107.688,335.346,0.996
2608.359,17.39,2.986,0.15,35.161,1337.817,2.145,12.631,0.843,5.879,1.069,105.759,327.388,0.995
2608.461,17.325,2.964,0.149,35.194,1336.423,2.145,13.926,0.876,5.949,1.072,104.134,321.362,0.995
2608.564,17.27,2.947,0.149,35.197,1335.029,2.148,15.044,0.886,5.963,1.077,104.049,317.876,0.996
2608.666,17.201,2.936,0.149,35.192,1335.726,2.156,15.867,0.885,5.983,1.086,104.436,315.174,0.996
2608.768,17.189,2.927,0.15,35.194,1336.423,2.168,15.907,0.882,6.036,1.101,103.968,311.604,0.996
2608.87,17.193,2.92,0.15,35.203,1338.514,2.205,15.951,0.888,6.074,1.121,103.186,307.963,0.995
2608.972,17.21,2.917,0.15,35.203,1343.394,2.225,16.14,0.903,6.042,1.145,103.925,306.038,0.995
2609.074,17.274,2.921,0.15,35.186,1348.971,2.246,16.247,0.916,5.968,1.173,106.537,306.052,0.996
2609.177,17.314,2.936,0.15,35.169,1351.76,2.269,16.888,0.931,6.035,1.201,110.114,307.461,0.996
2609.279,17.357,2.954,0.15,35.161,1347.577,2.319,17.642,0.93,6.34,1.228,113.087,310.345,0.996
2609.381,17.403,2.959,0.149,35.158,1341.303,2.344,18.736,0.915,6.743,1.249,114.378,313.889,0.997
2609.483,17.51,2.948,0.147,35.15,1335.029,2.369,19.129,0.907,7.02,1.265,113.053,316.811,0.997
2609.585,17.57,2.938,0.145,35.144,1329.451,2.395,18.252,0.905,7.058,1.275,109.701,318.254,0.998
2609.688,17.634,2.945,0.144,35.147,1323.874,2.46,16.631,0.914,6.968,1.28,106.554,318.837,0.999
2609.79,17.699,2.969,0.142,35.158,1325.269,2.497,14.705,0.925,6.868,1.282,105.577,318.916,0.999
2609.892,17.822,2.991,0.141,35.167,1328.754,2.535,13.396,0.931,6.785,1.281,106.336,318.059,0.999
2609.994,17.879,2.997,0.139,35.164,1334.331,2.574,12.612,0.932,6.702,1.278,107.496,316.658,0.999
2610.096,17.936,2.988,0.137,35.158,1341.303,2.654,12.111,0.914,6.622,1.274,108.316,316.556,0.999
2610.198,17.993,2.984,0.135,35.147,1343.394,2.696,12,0.908,6.56,1.267,108.848,319.235,0.999
2610.301,18.12,2.99,0.133,35.139,1344.091,2.733,11.935,0.906,6.53,1.258,109.259,323.964,0.999
2610.403,18.19,2.997,0.131,35.136,1344.091,2.761,11.921,0.911,6.53,1.247,109.636,329.591,0.999
2610.505,18.263,2.995,0.129,35.15,1338.514,2.792,11.698,0.932,6.542,1.235,109.624,335.803,0.999
2610.607,18.334,2.985,0.127,35.15,1335.029,2.795,11.966,0.926,6.551,1.222,108.993,342.522,0.999
2610.709,18.461,2.974,0.125,35.15,1332.24,2.788,12.609,0.909,6.552,1.21,108.615,347.642,0.999
2610.812,18.514,2.967,0.123,35.15,1329.451,2.777,13.706,0.882,6.543,1.201,109.563,349.91,0.999
2610.914,18.558,2.961,0.12,35.172,1319.691,2.74,14.876,0.836,6.539,1.196,111.484,350.377,0.999
2611.016,18.596,2.957,0.121,35.183,1315.509,2.716,15.135,0.83,6.56,1.193,112.776,349.449,0.999
2611.118,18.655,2.957,0.122,35.186,1315.509,2.688,14.189,0.834,6.611,1.194,112.759,346.403,0.999
2611.221,18.68,2.961,0.123,35.183,1316.903,2.656,12.646,0.839,6.68,1.196,112.673,342.609,0.999
2611.323,18.703,2.972,0.123,35.178,1319.691,2.578,11.114,0.832,6.716,1.198,113.79,342.043,0.999
2611.425,18.725,2.989,0.124,35.169,1323.177,2.537,9.936,0.821,6.652,1.199,116.427,345.84,0.999
2611.527,18.749,2.996,0.125,35.153,1326.663,2.495,9.506,0.802,6.617,1.2,119.362,351.279,0.999
2611.629,18.737,2.987,0.125,35.133,1329.451,2.458,9.599,0.786,6.9,1.201,108.847,355.758,0.999
2611.731,18.702,2.974,0.126,35.117,1332.24,2.422,9.822,0.779,7.441,1.203,107.016,360.736,0.999
2611.833,18.641,2.976,0.127,35.114,1332.24,2.425,10.09,0.791,8.12,1.208,107.688,364.413,0.999
2611.936,18.461,2.982,0.129,35.108,1332.937,2.441,10.736,0.818,8.883,1.216,105.759,359.75,0.999
2612.038,18.363,2.971,0.13,35.108,1333.634,2.465,11.2,0.85,9.586,1.227,104.134,342.405,0.999
2612.14,18.269,2.93,0.131,35.114,1334.331,2.53,11.786,0.906,9.936,1.24,104.049,314.468,0.999
2612.242,18.185,2.892,0.132,35.125,1334.331,2.559,12.389,0.925,9.517,1.255,104.436,287.58,0.999
2612.345,18.036,2.863,0.133,35.139,1334.331,2.578,12.609,0.938,8.349,1.271,103.968,273.259,0.999
2612.447,17.962,2.868,0.135,35.147,1335.726,2.588,12.45,0.951,6.997,1.286,103.186,277.153,0.999
2612.549,17.885,2.901,0.136,35.147,1335.726,2.563,12.491,0.964,6.007,1.301,103.925,295.96,0.999
2612.652,17.806,2.939,0.138,35.13,1334.331,2.536,13.676,0.955,5.399,1.316,106.537,326.686,1
2612.754,17.651,2.976,0.14,35.111,1333.634,2.505,15.47,0.936,5.161,1.329,110.114,354.177,1
2612.856,17.577,3,0.142,35.097,1332.937,2.47,17.44,0.907,5.219,1.343,113.087,366.98,1
2612.958,17.509,3,0.144,35.094,1329.451,2.412,19.358,0.844,5.46,1.356,114.378,367.198,1
2613.06,17.446,3,0.146,35.1,1326.663,2.394,20.432,0.829,5.82,1.366,113.053,365.34,1
2613.163,17.334,3,0.148,35.1,1325.269,2.379,20.801,0.828,6.092,1.372,109.701,362.284,1
2613.265,17.283,3,0.15,35.097,1325.966,2.37,15.541,0.84,6.115,1.133,106.554,357.161,1
2613.367,17.234,3,0.152,35.147,1327.36,2.355,13.559,0.875,6.221,1.123,105.577,351.299,1.001
2613.469,17.189,3,0.153,35.178,1328.057,2.348,12.796,0.886,6.538,1.123,106.336,345.052,1.001
2613.572,17.121,3,0.153,35.2,1330.149,2.341,12.323,0.889,6.675,1.133,107.496,339.905,1.001
2613.674,17.104,3,0.154,35.217,1334.331,2.331,11.824,0.881,6.512,1.151,108.316,336.828,1.001
2613.776,17.103,3,0.154,35.233,1340.606,2.324,11.524,0.882,6.1,1.172,108.848,335.737,1.001
2613.878,17.119,3,0.155,35.233,1342,2.327,11.376,0.89,5.601,1.195,109.259,336.517,1.001
2613.98,17.195,3,0.155,35.242,1345.486,2.331,11.387,0.903,5.321,1.217,109.636,338.031,1.001
2614.083,17.247,2.991,0.156,35.247,1348.274,2.336,11.141,0.918,5.349,1.238,109.624,338.178,1.001
2614.185,17.303,2.983,0.156,35.244,1348.274,2.34,11.152,0.93,5.536,1.256,108.993,336.226,1.001
2614.287,17.359,2.973,0.157,35.236,1346.88,2.344,11.316,0.925,5.673,1.271,108.615,333.566,1.001
2614.389,17.465,2.967,0.158,35.217,1346.88,2.351,11.64,0.912,5.762,1.285,109.563,331.326,1.001
2614.491,17.513,2.968,0.158,35.197,1346.183,2.361,11.749,0.901,5.848,1.296,111.484,329.504,1.001
2614.593,17.557,2.97,0.159,35.172,1335.029,2.382,11.442,0.901,5.914,1.302,112.776,329.007,1.001
2614.695,17.595,2.97,0.16,35.167,1330.149,2.394,11.414,0.914,6.071,1.306,112.759,330.647,1.001
2614.797,17.652,2.97,0.16,35.161,1328.754,2.409,11.298,0.924,6.358,1.302,112.673,333.431,1.001
2614.899,17.67,2.973,0.161,35.153,1328.754,2.428,11.068,0.928,6.548,1.294,113.79,336.082,1.001
2615.002,17.681,2.977,0.161,35.161,1328.754,2.472,11.02,0.909,6.515,1.28,116.427,337.643,1.001
2615.104,17.687,2.976,0.163,35.175,1330.149,2.497,11.122,0.892,6.411,1.262,119.362,336.739,1.001
2615.206,17.684,2.967,0.164,35.189,1332.937,2.526,11.502,0.883,6.34,1.244,105.95,333.851,1.001
2615.308,17.679,2.957,0.165,35.192,1335.726,2.551,11.956,0.882,6.302,1.226,104.398,331.467,1.001
2615.41,17.675,2.956,0.167,35.175,1335.726,2.595,12.613,0.898,6.278,1.214,104.238,330.87,1.001
2615.513,17.676,2.972,0.168,35.164,1332.937,2.611,12.982,0.903,6.257,1.205,106.635,331.806,1.001
2615.615,17.706,2.993,0.169,35.155,1330.149,2.621,13.21,0.902,6.269,1.201,109.695,334.115,1.001
2615.717,17.737,3,0.17,35.136,1329.451,2.625,12.892,0.895,6.302,1.2,111.471,336.799,1.001
2615.819,17.777,3,0.172,35.105,1326.663,2.63,12.052,0.873,6.29,1.2,112.086,339.038,1
2615.921,17.825,3,0.173,35.089,1324.571,2.634,12.066,0.87,6.254,1.201,113.721,341.152,1.001
2616.023,17.925,3,0.175,35.078,1323.177,2.642,12.631,0.877,6.378,1.2,116.744,343.284,1.001
2616.126,17.97,3,0.177,35.067,1323.177,2.653,13.926,0.89,6.618,1.197,118.743,345.393,1.001
2616.228,18.008,3,0.178,35.061,1321.086,2.674,15.044,0.917,6.774,1.193,118.015,348.146,1.001
