TVD,SP,DEV,DGA,QT,TENS,RT1,POR,RA45,AC,M4R2,GR,PE,QCAL
2497.356,15.889,35.661,2.941,0.102,1268.103,3.604,0.02,0.982,313.104,1.595,104.001,5.625,0.998
2497.457,15.834,35.667,2.946,0.102,1264.617,3.592,0.018,0.948,314.072,1.577,104.946,5.659,0.998
2497.559,15.713,35.664,2.947,0.102,1261.829,3.581,0.018,0.923,314.977,1.558,105.06,5.697,0.998
2497.661,15.638,35.664,2.944,0.101,1261.131,3.57,0.019,0.91,315.474,1.539,104.512,5.72,0.998
2497.762,15.552,35.68,2.943,0.101,1268.103,3.552,0.019,0.925,315.643,1.521,104.218,5.682,0.998
2497.864,15.458,35.689,2.942,0.101,1273.68,3.54,0.02,0.938,315.349,1.505,104.083,5.576,0.998
2497.965,15.284,35.686,2.938,0.1,1278.56,3.527,0.021,0.944,314.828,1.493,103.465,5.475,0.998
2498.067,15.221,35.669,2.931,0.1,1279.954,3.513,0.112,0.942,314.416,1.483,102.271,5.416,0.998
2498.168,15.182,35.619,2.926,0.1,1274.377,3.47,0.317,0.907,313.597,1.475,101.194,5.379,0.998
2498.27,15.164,35.6,2.927,0.096,1268.103,3.447,0.25,0.891,313.022,1.469,101.497,5.342,0.998
2498.371,15.177,35.583,2.936,0.093,1261.829,3.423,0.031,0.888,313.955,1.463,103.041,5.3,0.998
2498.473,15.199,35.569,2.947,0.089,1256.949,3.397,0.018,0.899,315.85,1.457,105.055,5.272,0.998
2498.574,15.227,35.508,2.953,0.086,1256.949,3.331,0.015,0.952,317.747,1.452,106.158,5.274,0.998
2498.676,15.258,35.483,2.951,0.083,1263.92,3.295,0.016,0.972,320.105,1.448,105.91,5.293,0.998
2498.778,15.322,35.48,2.945,0.079,1272.286,3.257,0.018,0.975,322.345,1.445,104.682,5.259,0.998
2498.879,15.349,35.48,2.945,0.076,1279.257,3.221,0.019,0.963,322.603,1.445,104.564,5.181,0.998
2498.981,15.372,35.48,2.958,0.072,1289.714,3.158,0.015,0.917,320.799,1.445,106.572,5.28,0.998
2499.083,15.391,35.492,2.976,0.072,1291.806,3.131,0.009,0.907,318.716,1.444,109.302,5.546,0.998
2499.185,15.415,35.494,2.977,0.071,1291.806,3.108,0.008,0.913,318.157,1.441,109.496,5.726,0.998
2499.287,15.418,35.497,2.957,0.071,1289.714,3.088,0.015,0.928,319.558,1.433,106.447,5.636,0.998
2499.388,15.414,35.497,2.936,0.07,1286.229,3.051,0.026,0.965,322.509,1.421,103.099,5.402,0.998
2499.49,15.399,35.478,2.934,0.07,1283.44,3.035,0.053,0.971,325.904,1.403,102.753,5.287,0.998
2499.592,15.337,35.455,2.95,0.069,1279.954,3.02,0.017,0.962,328.079,1.383,105.454,5.395,0.998
2499.694,15.294,35.444,2.97,0.068,1277.166,3.01,0.011,0.939,327.937,1.361,108.423,5.587,0.998
2499.795,15.25,35.436,2.977,0.068,1273.68,2.996,0.008,0.891,326.635,1.342,109.539,5.666,0.998
2499.897,15.21,35.442,2.972,0.068,1271.589,2.991,0.01,0.882,325.863,1.325,108.742,5.651,0.998
2499.999,15.143,35.453,2.967,0.068,1269.497,2.984,0.011,0.89,325.961,1.313,108.07,5.641,0.998
2500.101,15.113,35.464,2.971,0.068,1268.103,2.974,0.01,0.912,326.355,1.304,108.646,5.651,0.998
2500.203,15.079,35.489,2.984,0.068,1267.406,2.94,0.006,0.944,326.88,1.298,110.503,5.659,0.998
2500.305,15.042,35.503,2.994,0.068,1266.011,2.915,0.002,0.936,327.923,1.293,112.015,5.656,0.998
2500.406,14.966,35.514,2.996,0.068,1265.314,2.887,0.002,0.917,330.41,1.29,112.265,5.64,0.998
2500.508,14.936,35.522,2.991,0.068,1265.314,2.858,0.003,0.891,334.87,1.287,111.533,5.619,0.998
2500.61,14.914,35.533,2.985,0.068,1270.194,2.802,0.005,0.852,340.356,1.287,110.663,5.601,0.998
2500.712,14.899,35.536,2.978,0.07,1274.377,2.775,0.008,0.852,344.288,1.289,109.624,5.607,0.998
2500.813,14.888,35.539,2.963,0.072,1277.166,2.747,0.013,0.862,344.865,1.295,107.421,5.687,0.998
2500.915,14.886,35.536,2.942,0.074,1278.56,2.722,0.02,0.878,342.249,1.304,103.943,5.828,0.998
2501.017,14.88,35.533,2.923,0.076,1277.166,2.679,0.486,0.889,337.604,1.316,100.586,5.894,0.998
2501.119,14.869,35.53,2.914,0.078,1276.469,2.661,1.245,0.879,332.303,1.331,98.698,5.876,0.998
2501.22,14.816,35.525,2.914,0.08,1273.68,2.647,1.463,0.856,328.769,1.345,98.312,5.86,0.998
2501.322,14.776,35.528,2.916,0.082,1268.8,2.637,1.359,0.836,328.076,1.359,98.512,5.861,0.998
2501.424,14.731,35.503,2.917,0.084,1261.131,2.626,1.278,0.847,328.048,1.373,98.621,5.855,0.998
2501.526,14.688,35.483,2.92,0.085,1259.737,2.626,0.944,0.875,326.119,1.387,99.297,5.841,0.998
2501.627,14.62,35.469,2.928,0.086,1259.04,2.629,0.358,0.915,322.979,1.403,100.992,5.837,0.998
2501.729,14.598,35.464,2.934,0.087,1259.04,2.638,0.11,0.953,319.806,1.423,102.256,5.841,0.998
2501.831,14.583,35.48,2.926,0.089,1263.223,2.687,0.423,0.988,314.206,1.446,100.749,5.85,0.998
2501.933,14.572,35.494,2.899,0.09,1266.709,2.728,3.095,0.991,303.225,1.472,95.283,5.864,0.998
2502.034,14.555,35.5,2.869,0.091,1268.8,2.773,6.7,0.992,291.011,1.495,89.114,5.863,0.998
2502.136,14.547,35.511,2.851,0.092,1269.497,2.816,7.853,1,286.1,1.512,85.455,5.863,0.998
2502.238,14.539,35.536,2.845,0.093,1268.8,2.886,7.893,1.03,287.59,1.518,84.742,5.893,0.998
2502.34,14.531,35.55,2.85,0.093,1268.103,2.908,7.641,1.053,294.211,1.51,85.865,5.935,0.998
2502.442,14.511,35.558,2.868,0.092,1267.406,2.914,6.327,1.07,307.4,1.489,89.568,5.964,0.998
2502.543,14.5,35.558,2.898,0.091,1267.406,2.911,2.462,1.069,321.846,1.459,96.178,5.992,0.998
2502.645,14.49,35.525,2.935,0.09,1270.891,2.885,0.022,1.012,329.26,1.425,103.16,6.024,0.998
2502.747,14.482,35.505,2.96,0.09,1270.891,2.871,0.014,0.962,331.007,1.39,107.016,6.07,0.998
2502.848,14.484,35.494,2.966,0.089,1270.194,2.86,0.012,0.914,331.399,1.358,107.903,6.151,0.998
2502.95,14.497,35.489,2.965,0.088,1268.103,2.852,0.012,0.882,332.914,1.329,107.749,6.244,0.998
2503.052,14.519,35.486,2.969,0.087,1265.314,2.838,0.011,0.87,335.434,1.306,108.28,6.326,0.998
2503.154,14.549,35.475,2.976,0.089,1263.223,2.83,0.008,0.878,338.423,1.287,109.394,6.358,0.998
2503.255,14.628,35.455,2.981,0.091,1261.829,2.819,0.007,0.884,340.855,1.272,110.082,6.258,0.998
2503.357,14.674,35.442,2.978,0.093,1262.526,2.809,0.008,0.883,341.366,1.261,109.71,5.997,0.998
2503.459,14.722,35.439,2.971,0.094,1266.709,2.797,0.01,0.865,338.513,1.253,108.594,5.648,0.998
2503.561,14.77,35.433,2.964,0.096,1268.103,2.798,0.013,0.856,332.752,1.247,107.395,5.423,0.998
2503.663,14.857,35.43,2.957,0.098,1269.497,2.801,0.015,0.856,326.815,1.244,106.224,5.484,0.998
2503.764,14.891,35.433,2.946,0.1,1272.983,2.804,0.019,0.865,324.017,1.242,104.383,5.801,0.998
2503.866,14.919,35.461,2.936,0.101,1282.046,2.787,0.071,0.9,325.577,1.242,102.561,6.101,0.998
2503.968,14.939,35.486,2.933,0.098,1284.834,2.766,0.14,0.906,330.595,1.244,102.044,6.17,0.998
2504.07,14.963,35.508,2.94,0.095,1286.926,2.739,0.021,0.898,337.283,1.247,103.326,6.167,0.998
2504.172,14.971,35.522,2.955,0.092,1288.32,2.706,0.016,0.879,342.213,1.253,106.009,6.219,0.998
2504.274,14.978,35.511,2.972,0.088,1286.926,2.631,0.01,0.829,342.759,1.261,108.711,6.285,0.998
2504.375,14.984,35.494,2.984,0.085,1282.743,2.596,0.005,0.823,338.665,1.274,110.638,6.227,0.998
2504.477,14.98,35.472,2.985,0.082,1277.863,2.566,0.005,0.832,332.956,1.289,110.71,5.961,0.998
2504.579,14.966,35.442,2.973,0.079,1274.377,2.54,0.009,0.853,327.587,1.308,108.952,5.629,0.998
2504.681,14.941,35.397,2.957,0.075,1270.194,2.514,0.015,0.907,323.796,1.327,106.311,5.453,0.998
2504.782,14.907,35.386,2.941,0.076,1268.8,2.509,0.021,0.92,321.815,1.346,103.536,5.444,0.998
2504.884,14.829,35.375,2.927,0.077,1267.406,2.507,0.332,0.92,321.549,1.363,101.006,5.503,0.998
2504.986,14.796,35.361,2.92,0.077,1266.709,2.51,0.719,0.905,321.936,1.376,99.687,5.572,0.998
2505.088,14.774,35.361,2.928,0.078,1265.314,2.532,0.285,0.871,321.761,1.386,101.236,5.626,0.998
2505.19,14.764,35.358,2.95,0.078,1265.314,2.55,0.017,0.87,320.566,1.393,105.275,5.661,0.998
2505.292,14.781,35.367,2.971,0.079,1264.617,2.57,0.01,0.881,318.933,1.398,108.592,5.67,0.998
2505.394,14.807,35.386,2.97,0.079,1264.617,2.588,0.01,0.904,317.116,1.403,108.511,5.675,0.998
2505.496,14.843,35.425,2.951,0.08,1268.103,2.616,0.016,0.94,315.706,1.41,105.844,5.746,0.998
2505.598,14.889,35.45,2.937,0.082,1269.497,2.631,0.021,0.937,315.162,1.418,103.553,5.791,0.998
2505.699,15.005,35.472,2.937,0.085,1270.891,2.649,0.021,0.921,315.115,1.43,103.227,5.707,0.998
2505.802,15.068,35.486,2.941,0.088,1271.589,2.669,0.02,0.9,314.931,1.443,103.86,5.618,0.998
2505.903,15.129,35.511,2.94,0.091,1270.891,2.709,0.021,0.886,314.519,1.457,103.65,5.61,0.999
2506.005,15.184,35.519,2.933,0.093,1268.8,2.73,0.097,0.9,313.717,1.472,102.314,5.614,0.999
2506.107,15.272,35.511,2.922,0.096,1266.011,2.75,0.548,0.926,312.745,1.486,100.241,5.596,0.999
2506.209,15.305,35.483,2.917,0.099,1263.92,2.764,1.002,0.953,312.391,1.498,98.998,5.584,0.999
2506.31,15.334,35.414,2.919,0.102,1259.04,2.788,0.831,0.966,313.336,1.507,99.434,5.589,0.999
2506.412,15.358,35.383,2.929,0.102,1258.343,2.799,0.258,0.952,315.097,1.511,101.367,5.591,0.999
2506.514,15.398,35.358,2.939,0.102,1258.343,2.812,0.021,0.925,316.63,1.51,103.269,5.595,0.998
2506.616,15.415,35.344,2.943,0.102,1259.737,2.83,0.02,0.902,317.115,1.503,104.13,5.637,1
2506.718,15.432,35.322,2.941,0.102,1264.617,2.872,0.02,0.893,317.034,1.49,103.771,5.7,1
2506.82,15.449,35.319,2.936,0.102,1266.709,2.893,0.054,0.912,316.694,1.472,102.738,5.73,1
2506.921,15.475,35.33,2.931,0.102,1268.103,2.913,0.214,0.939,316.196,1.449,101.623,5.724,1
2507.023,15.48,35.347,2.934,0.102,1270.194,2.93,0.127,0.964,316.129,1.423,102.121,5.76,1
2507.125,15.477,35.372,2.944,0.102,1274.377,2.948,0.02,0.973,316.917,1.397,104.089,5.954,1
2507.227,15.468,35.378,2.955,0.1,1275.074,2.951,0.016,0.957,318.277,1.374,105.913,6.247,1
2507.329,15.434,35.372,2.956,0.099,1278.56,2.951,0.016,0.934,319.844,1.353,106.083,6.427,1
2507.431,15.411,35.358,2.953,0.097,1284.834,2.948,0.017,0.919,321.637,1.337,105.621,6.359,1
2507.533,15.383,35.305,2.955,0.096,1291.806,2.936,0.016,0.913,323.715,1.326,106.054,6.08,1
2507.635,15.353,35.264,2.968,0.095,1288.32,2.924,0.011,0.925,325.943,1.318,108.203,5.698,1
2507.737,15.296,35.217,2.988,0.093,1282.743,2.911,0.004,0.935,328.083,1.313,111.099,5.341,1
2507.839,15.271,35.18,3,0.092,1276.469,2.898,0,0.936,329.558,1.31,112.925,5.137,1
2507.941,15.248,35.122,2.997,0.09,1256.251,2.876,0.001,0.907,329.583,1.308,112.537,5.095,1
2508.043,15.222,35.114,2.985,0.092,1247.189,2.868,0.005,0.886,328.19,1.307,110.758,5.115,1
2508.145,15.161,35.117,2.977,0.094,1241.611,2.863,0.008,0.876,326.582,1.305,109.507,5.142,1
2508.247,15.129,35.136,2.974,0.096,1240.914,2.859,0.009,0.881,325.547,1.303,109.122,5.167,1
2508.35,15.102,35.205,2.97,0.098,1247.886,2.847,0.01,0.968,324.918,1.299,108.526,5.179,1
2508.452,15.085,35.247,2.963,0.1,1253.463,2.838,0.013,1.031,325.42,1.296,107.262,5.219,1
2508.554,15.086,35.278,2.954,0.102,1259.04,2.828,0.016,1.077,327.251,1.291,105.823,5.369,1
2508.656,15.102,35.308,2.95,0.103,1266.011,2.816,0.017,1.1,329.65,1.286,105.317,5.616,1
2508.759,15.125,35.319,2.957,0.105,1276.469,2.795,0.015,1.071,332.022,1.283,106.529,5.871,1
2508.861,15.153,35.319,2.968,0.11,1279.257,2.788,0.011,1.037,333.945,1.28,108.134,6.082,1
2508.963,15.215,35.314,2.969,0.114,1280.651,2.783,0.011,1.001,334.637,1.279,108.319,6.224,1
2509.065,15.247,35.305,2.964,0.119,1279.954,2.777,0.013,0.966,334.374,1.28,107.5,6.24,1
2509.167,15.277,35.289,2.965,0.124,1273.68,2.764,0.012,0.914,334.077,1.283,107.73,6.073,1
2509.269,15.303,35.294,2.98,0.128,1268.8,2.756,0.007,0.879,334.399,1.286,109.989,5.797,1
2509.371,15.343,35.3,2.992,0.133,1265.314,2.747,0.003,0.883,335.911,1.289,111.682,5.608,1
2509.473,15.358,35.314,2.986,0.137,1263.223,2.742,0.005,0.879,338.444,1.289,110.814,5.611,1
2509.575,15.37,35.342,2.961,0.142,1263.223,2.74,0.013,0.864,340.186,1.286,107.143,5.685,1
2509.677,15.378,35.339,2.935,0.138,1266.011,2.745,0.056,0.869,340.159,1.279,102.77,5.722,1
2509.779,15.357,35.325,2.922,0.133,1271.589,2.752,0.704,0.885,340.274,1.266,100.036,5.754,1
2509.881,15.324,35.305,2.923,0.129,1279.257,2.76,0.577,0.911,341.702,1.25,100.366,5.805,1
2509.983,15.28,35.247,2.932,0.125,1293.897,2.766,0.091,0.949,343.173,1.232,102.445,5.854,1
2510.085,15.235,35.233,2.944,0.121,1300.869,2.76,0.019,0.946,344.394,1.214,104.488,5.886,1
2510.187,15.182,35.236,2.952,0.117,1307.143,2.747,0.016,0.928,346.431,1.197,105.761,5.937,1
2510.289,15.188,35.25,2.963,0.113,1310.629,2.729,0.013,0.897,348.101,1.185,107.439,6.016,1
2510.391,15.214,35.305,2.977,0.109,1307.84,2.682,0.008,0.851,347.768,1.175,109.567,6.066,1
2510.493,15.254,35.344,2.984,0.109,1304.354,2.653,0.005,0.845,346.443,1.17,110.638,6.074,1
2510.595,15.355,35.383,2.984,0.109,1298.777,2.623,0.006,0.851,346.711,1.167,110.555,6.076,1
2510.697,15.407,35.419,2.981,0.109,1293.897,2.594,0.007,0.867,348.765,1.167,110.125,6.077,1.001
2510.799,15.459,35.453,2.977,0.109,1283.44,2.54,0.008,0.882,351.125,1.167,109.533,6.073,1.001
2510.901,15.511,35.444,2.97,0.109,1282.046,2.518,0.01,0.882,352.753,1.169,108.516,6.068,1.001
2511.003,15.613,35.419,2.968,0.109,1282.743,2.503,0.011,0.87,354.017,1.17,108.196,6.049,1.001
2511.105,15.661,35.389,2.981,0.109,1282.743,2.494,0.007,0.854,355.086,1.17,110.07,5.994,1
2511.207,15.705,35.342,3,0.109,1283.44,2.487,0,0.857,355.107,1.172,112.959,5.867,1
2511.308,15.748,35.33,3,0.109,1282.743,2.487,0,0.878,354.232,1.174,115.062,5.686,0.999
2511.41,15.832,35.328,3,0.108,1282.046,2.488,0,0.908,353.952,1.18,116.226,5.564,0.999
2511.512,15.877,35.339,3,0.108,1279.257,2.488,0,0.929,353.985,1.189,115.888,5.529,0.999
2511.614,15.925,35.344,3,0.108,1275.074,2.481,0,0.933,352.565,1.204,113.948,5.522,0.999
2511.716,15.977,35.35,2.991,0.108,1274.377,2.475,0.003,0.916,349.026,1.223,111.664,5.607,0.999
2511.818,16.104,35.355,2.989,0.108,1272.983,2.468,0.004,0.895,343.957,1.245,111.344,5.811,0.999
2511.92,16.186,35.353,3,0.108,1274.377,2.461,0,0.892,338.453,1.268,112.847,6.021,0.999
2512.022,16.285,35.361,3,0.108,1288.32,2.457,0,0.92,333.878,1.288,114.362,6.061,0.999
2512.124,16.401,35.364,3,0.109,1300.869,2.454,0,0.949,331.115,1.304,115.068,5.848,0.999
2512.226,16.675,35.361,3,0.11,1313.417,2.45,0,0.974,329.922,1.312,114.204,5.532,0.999
2512.328,16.824,35.361,2.991,0.111,1324.571,2.444,0.003,0.986,328.823,1.31,111.545,5.293,0.999
2512.43,16.974,35.364,2.972,0.112,1339.909,2.427,0.01,0.96,326.984,1.298,108.702,5.197,0.999
2512.532,17.119,35.358,2.965,0.113,1337.12,2.414,0.012,0.922,326.55,1.275,107.632,5.249,1
2512.634,17.372,35.344,2.971,0.114,1328.057,2.396,0.01,0.888,330.116,1.246,108.559,5.48,1
2512.736,17.471,35.319,2.976,0.115,1314.114,2.38,0.008,0.861,336.953,1.213,109.391,5.864,1
2512.838,17.548,35.278,2.978,0.116,1284.137,2.359,0.008,0.832,345.104,1.182,109.695,6.309,1
2512.939,17.603,35.264,2.984,0.122,1272.983,2.358,0.006,0.831,354.641,1.156,110.512,6.743,1
2513.042,17.643,35.258,2.99,0.128,1264.617,2.365,0.003,0.824,364.108,1.137,111.47,7.093,1
2513.144,17.628,35.267,2.994,0.134,1262.526,2.375,0.002,0.81,367.898,1.127,111.997,7.248,1
2513.246,17.592,35.303,2.996,0.14,1269.497,2.414,0.001,0.777,363.71,1.123,112.394,7.243,0.999
2513.348,17.539,35.339,3,0.146,1275.074,2.443,0,0.773,356.814,1.123,113.084,7.248,1
2513.45,17.406,35.386,3,0.152,1279.257,2.473,0,0.783,351.24,1.126,113.001,7.375,0.999
2513.552,17.335,35.419,2.989,0.158,1282.046,2.502,0.004,0.802,345.721,1.13,111.251,7.622,0.999
2513.654,17.262,35.447,2.97,0.164,1284.137,2.547,0.011,0.862,341.802,1.135,108.417,7.858,0.999
2513.756,17.189,35.439,2.954,0.164,1283.44,2.562,0.016,0.875,343.082,1.14,105.996,7.926,1
2513.858,17.053,35.417,2.949,0.164,1282.046,2.571,0.017,0.873,346.087,1.148,105.212,7.674,0.996
2513.959,16.995,35.4,2.953,0.164,1279.954,2.575,0.016,0.856,345.919,1.159,105.798,7.105,0.996
2514.061,16.946,35.364,2.962,0.164,1277.863,2.573,0.013,0.81,342.649,1.174,107.154,6.479,0.996
2514.163,16.903,35.344,2.965,0.164,1277.166,2.572,0.012,0.803,339.328,1.193,107.623,6.085,0.996
2514.265,16.822,35.322,2.954,0.164,1275.074,2.569,0.016,0.815,337.264,1.215,105.989,6.006,0.996
2514.367,16.777,35.314,2.934,0.164,1272.983,2.565,0.046,0.84,335.09,1.24,102.895,6.244,0.996
2514.469,16.727,35.328,2.918,0.164,1268.8,2.553,0.512,0.896,330.888,1.265,100.583,6.732,0.996
2514.571,16.671,35.339,2.911,0.163,1267.406,2.544,0.855,0.909,324.436,1.29,99.599,7.196,0.996
2514.673,16.536,35.339,2.908,0.161,1267.406,2.532,1.204,0.909,317.665,1.31,98.781,7.377,0.996
2514.775,16.446,35.328,2.902,0.159,1270.891,2.522,2.21,0.896,314.647,1.324,96.884,7.329,0.996
2514.877,16.334,35.275,2.9,0.157,1284.137,2.507,3.095,0.871,321.839,1.329,95.454,7.079,0.996
2514.979,16.197,35.253,2.908,0.155,1293.2,2.5,2.025,0.871,334.234,1.325,97.18,6.64,0.996
2515.081,15.876,35.233,2.927,0.153,1302.263,2.497,0.322,0.882,345.274,1.314,101.221,6.173,0.996
2515.183,15.72,35.214,2.951,0.151,1309.234,2.497,0.017,0.898,353.206,1.299,105.447,5.772,0.996
2515.285,15.586,35.211,2.968,0.149,1316.206,2.492,0.011,0.9,355.993,1.283,108.163,5.459,0.996
2515.387,15.481,35.222,2.977,0.148,1317.6,2.487,0.008,0.884,350.918,1.268,109.55,5.269,0.996
2515.489,15.352,35.239,2.984,0.147,1316.206,2.483,0.006,0.863,343.315,1.256,110.555,5.244,0.996
2515.591,15.317,35.25,2.987,0.146,1309.931,2.481,0.004,0.844,339.045,1.247,111.066,5.34,0.996
2515.693,15.294,35.269,2.983,0.145,1295.292,2.479,0.006,0.843,338.227,1.239,110.488,5.47,0.996
2515.795,15.28,35.28,2.975,0.144,1288.32,2.483,0.009,0.864,338.483,1.233,109.174,5.659,0.996
2515.897,15.277,35.283,2.973,0.143,1284.834,2.488,0.009,0.894,339.12,1.228,108.908,5.931,0.996
2516,15.283,35.28,2.982,0.142,1282.743,2.495,0.006,0.919,340.487,1.224,110.299,6.116,0.996
2516.102,15.291,35.247,2.993,0.14,1286.229,2.513,0.003,0.931,342.153,1.222,111.854,6.124,0.996
2516.204,15.298,35.233,2.994,0.141,1289.714,2.523,0.002,0.911,342.844,1.221,112.08,6.069,0.996
2516.306,15.308,35.23,2.989,0.142,1293.2,2.535,0.004,0.885,341.528,1.221,111.281,6.039,0.996
2516.408,15.31,35.23,2.983,0.143,1297.383,2.548,0.006,0.867,338.761,1.222,110.441,6.038,0.996
2516.51,15.312,35.205,2.978,0.143,1292.503,2.573,0.008,0.874,335.818,1.222,109.612,6.063,0.996
2516.612,15.311,35.194,2.976,0.144,1284.834,2.58,0.008,0.893,333.717,1.222,109.344,6.126,0.996
2516.714,15.292,35.192,2.984,0.145,1277.863,2.586,0.006,0.911,333.47,1.22,110.543,6.192,0.996
2516.816,15.274,35.2,2.993,0.145,1272.286,2.586,0.002,0.921,335.714,1.216,111.898,6.208,0.996
2516.918,15.253,35.217,2.985,0.146,1263.92,2.573,0.005,0.907,339.435,1.211,110.651,6.215,0.996
2517.02,15.232,35.219,2.963,0.15,1265.314,2.564,0.013,0.887,342.445,1.205,107.353,6.251,0.996
2517.123,15.204,35.222,2.946,0.154,1270.194,2.556,0.018,0.878,343.453,1.2,104.676,6.127,0.996
2517.225,15.2,35.219,2.945,0.158,1277.166,2.548,0.019,0.879,342.642,1.196,104.668,5.869,0.996
2517.327,15.203,35.214,2.951,0.162,1293.2,2.524,0.016,0.905,341.458,1.194,105.682,5.732,0.996
2517.429,15.212,35.208,2.953,0.166,1299.474,2.505,0.016,0.919,341.064,1.195,105.828,5.744,0.996
2517.531,15.242,35.203,2.945,0.169,1301.566,2.48,0.019,0.92,341.512,1.197,104.489,5.816,0.996
2517.633,15.264,35.194,2.936,0.173,1297.383,2.452,0.041,0.911,342.246,1.2,102.932,5.936,0.996
2517.735,15.288,35.175,2.935,0.177,1291.806,2.4,0.055,0.864,343.156,1.203,102.778,6.163,0.996
2517.837,15.315,35.167,2.951,0.171,1289.017,2.378,0.017,0.845,343.671,1.205,105.536,6.491,0.996
2517.939,15.368,35.158,2.98,0.165,1284.137,2.361,0.007,0.838,344.405,1.204,110.031,6.744,0.996
2518.042,15.391,35.15,3,0.158,1279.954,2.349,0,0.839,348.18,1.2,113.677,6.84,0.996
2518.144,15.408,35.158,3,0.152,1280.651,2.339,0,0.875,354.318,1.194,113.318,6.86,0.996
2518.246,15.417,35.161,2.975,0.146,1281.349,2.339,0.009,0.886,356.809,1.187,109.24,6.774,0.996
2518.348,15.411,35.161,2.946,0.139,1278.56,2.341,0.019,0.884,353.545,1.18,104.663,6.566,0.996
2518.45,15.397,35.172,2.934,0.133,1274.377,2.345,0.069,0.872,348.288,1.175,102.674,6.299,0.996
2518.552,15.38,35.217,2.939,0.127,1272.983,2.349,0.021,0.843,340.917,1.171,103.632,6.106,0.996
2518.655,15.361,35.242,2.953,0.13,1274.377,2.358,0.016,0.841,332.248,1.168,105.81,6.075,0.996
2518.757,15.331,35.261,2.965,0.134,1276.469,2.368,0.012,0.85,329.935,1.166,107.7,6.109,0.996
2518.859,15.326,35.267,2.972,0.137,1277.863,2.38,0.01,0.87,333.141,1.165,108.834,6.123,0.996
2518.961,15.329,35.247,2.969,0.141,1280.651,2.405,0.011,0.897,337.064,1.163,108.317,6.131,0.996
2519.063,15.341,35.25,2.959,0.144,1279.257,2.416,0.014,0.892,339.079,1.162,106.724,6.102,0.996
2519.166,15.387,35.242,2.947,0.148,1276.469,2.427,0.018,0.884,338.371,1.162,104.809,6.026,0.996
2519.268,15.416,35.225,2.94,0.151,1272.983,2.442,0.021,0.868,336.261,1.162,103.594,6.097,0.996
2519.37,15.447,35.217,2.939,0.154,1268.103,2.466,0.021,0.856,333.308,1.163,103.443,6.482,0.996
2519.472,15.478,35.219,2.944,0.158,1268.103,2.472,0.02,0.863,329.464,1.165,104.172,7.032,0.996
2519.574,15.535,35.23,2.954,0.161,1270.194,2.475,0.016,0.882,327.414,1.167,105.923,7.46,0.996
2519.676,15.559,35.255,2.969,0.164,1272.983,2.475,0.011,0.9,328.255,1.171,108.276,7.698,0.996
2519.778,15.582,35.275,2.973,0.167,1274.377,2.459,0.009,0.903,330.272,1.175,108.96,7.801,0.996
2519.88,15.602,35.28,2.965,0.17,1274.377,2.445,0.012,0.889,333.932,1.18,107.646,7.754,0.996
2519.982,15.637,35.28,2.957,0.174,1274.377,2.433,0.015,0.869,339.108,1.185,106.493,7.452,0.996
2520.084,15.648,35.272,2.965,0.177,1275.074,2.42,0.012,0.849,342.646,1.189,107.754,6.954,0.996
2520.186,15.654,35.244,2.978,0.18,1278.56,2.404,0.008,0.851,343.168,1.191,109.712,6.513,0.996
2520.288,15.655,35.23,2.979,0.183,1281.349,2.4,0.007,0.869,342.775,1.192,109.835,6.256,0.996
2520.39,15.647,35.214,2.969,0.186,1284.834,2.397,0.011,0.888,343.38,1.191,108.239,6.121,0.996
2520.492,15.64,35.197,2.966,0.188,1287.623,2.397,0.012,0.897,344.128,1.189,107.824,6,0.996
2520.594,15.633,35.172,2.977,0.191,1286.926,2.394,0.008,0.884,345.501,1.186,109.513,5.859,0.996
2520.697,15.625,35.172,2.988,0.194,1282.743,2.392,0.004,0.86,347.256,1.183,111.157,5.705,0.996
2520.799,15.606,35.186,2.988,0.196,1278.56,2.389,0.004,0.841,346.347,1.181,111.228,5.526,0.996
2520.901,15.597,35.203,2.98,0.199,1275.771,2.387,0.007,0.834,342.885,1.181,110.017,5.307,0.996
2521.003,15.589,35.214,2.971,0.202,1273.68,2.387,0.01,0.855,339.367,1.183,108.6,5.088,0.996
2521.105,15.58,35.217,2.959,0.202,1273.68,2.389,0.014,0.876,338.108,1.189,106.749,4.92,0.996
2521.208,15.546,35.221,2.943,0.202,1274.377,2.392,0.02,0.881,341.25,1.197,104.171,4.841,0.996
2521.31,15.516,35.225,2.935,0.202,1275.074,2.395,0.073,0.885,345.947,1.209,102.585,4.883,0.996
2521.412,15.496,35.233,2.94,0.202,1283.44,2.42,0.021,0.883,347.346,1.225,103.571,5.082,0.996
2521.514,15.476,35.23,2.958,0.202,1287.623,2.437,0.014,0.875,345.972,1.243,106.617,5.359,0.996
2521.616,15.376,35.222,2.984,0.202,1288.32,2.457,0.006,0.87,342.092,1.262,110.518,5.584,0.996
2521.718,15.32,35.225,3,0.202,1289.017,2.478,0,0.878,336.709,1.283,113.84,5.753,0.996
2521.82,15.261,35.258,3,0.202,1289.017,2.512,0,0.924,333.376,1.303,114.074,5.941,0.996
2521.922,15.198,35.261,2.984,0.202,1285.531,2.524,0.005,0.951,332.584,1.322,110.636,6.139,0.996
2522.024,15.06,35.255,2.947,0.201,1279.954,2.535,0.018,0.966,331.486,1.339,104.912,6.256,0.996
