DGA,QT,RT1,POR,RA45,PE,M4R2,QCAL
2.944,0.196,2.223,0.019,0.839,6.773,1.027,0.994
2.925,0.194,2.205,0.392,0.836,6.8,1.024,0.994
2.922,0.193,2.185,0.577,0.823,6.852,1.021,0.994
2.937,0.191,2.166,0.021,0.807,6.893,1.017,0.995
2.964,0.19,2.127,0.012,0.796,6.886,1.01,0.995
2.987,0.193,2.11,0.005,0.804,6.836,0.999,0.995
3,0.197,2.095,0,0.816,6.773,0.987,0.995
3,0.2,2.081,0,0.822,6.742,0.973,0.994
3,0.203,2.051,0,0.816,6.808,0.961,0.994
3,0.207,2.034,0,0.804,7.006,0.95,0.996
3,0.21,2.016,0,0.791,7.304,0.944,0.997
2.991,0.214,2.002,0.003,0.784,7.654,0.941,0.997
2.987,0.217,1.986,0.005,0.793,8.043,0.941,0.997
2.99,0.217,1.984,0.003,0.805,8.349,0.943,0.997
3,0.218,1.984,0,0.812,8.287,0.945,0.997
3,0.218,1.986,0,0.814,7.695,0.945,0.997
3,0.218,1.999,0,0.789,6.897,0.943,0.997
3,0.218,2.008,0,0.78,6.363,0.938,0.997
3,0.218,2.016,0,0.773,6.314,0.931,0.997
3,0.218,2.018,0,0.774,6.59,0.925,0.997
3,0.219,2.006,0,0.779,6.897,0.918,0.997
3,0.21,1.991,0,0.771,7.107,0.913,0.997
3,0.2,1.976,0,0.756,7.277,0.911,0.997
3,0.191,1.962,0,0.739,7.446,0.917,0.997
3,0.182,1.951,0,0.73,7.592,0.929,0.997
3,0.173,1.962,0,0.74,7.723,0.954,0.997
2.964,0.164,1.982,0.013,0.769,7.844,0.993,0.997
2.929,0.155,2.011,0.358,0.812,7.932,1.051,0.997
2.902,0.146,2.085,3.892,0.889,7.986,1.132,0.997
2.881,0.15,2.125,6.432,0.918,8.012,1.234,0.997
2.869,0.154,2.164,6.395,0.941,8.027,1.357,0.997
2.867,0.158,2.202,5.319,0.959,8.056,1.49,0.997
2.873,0.162,2.274,4.05,0.996,8.08,1.62,0.997
2.877,0.166,2.309,3.466,1.018,7.976,1.728,0.997
2.879,0.17,2.346,3.431,1.038,7.621,1.801,0.997
2.882,0.174,2.387,3.359,1.042,7.076,1.836,0.997
2.883,0.178,2.475,3.375,1.033,6.566,1.839,0.997
2.879,0.173,2.529,3.735,1.017,6.264,1.825,0.997
2.876,0.168,2.589,3.751,1.007,6.142,1.806,0.997
2.883,0.163,2.654,2.459,1.004,6.077,1.793,0.997
2.903,0.157,2.811,0.627,1.034,6.043,1.788,0.997
2.915,0.152,2.899,0.037,1.054,6.079,1.792,0.997
2.91,0.147,2.994,0.02,1.065,6.174,1.802,0.997
2.904,0.142,3.092,0.028,1.07,6.245,1.815,0.997
2.903,0.137,3.295,0.325,1.049,6.326,1.825,0.997
2.895,0.134,3.392,1.096,1.041,6.592,1.828,0.997
2.89,0.131,3.481,1.836,1.038,6.986,1.82,0.997
2.889,0.128,3.559,2.236,1.036,7.23,1.8,0.997
2.896,0.125,3.663,2.076,1.032,7.201,1.77,0.997
2.913,0.123,3.691,0.797,1.016,6.977,1.731,0.997
2.941,0.12,3.701,0.019,0.995,6.709,1.688,0.997
2.969,0.117,3.698,0.009,0.967,6.478,1.648,0.997
2.981,0.114,3.657,0.004,0.921,6.275,1.625,0.997
2.987,0.125,3.624,0.003,0.909,6.138,1.584,0.997
2.985,0.136,3.586,0.005,0.906,6.189,1.546,0.997
2.979,0.147,3.546,0.008,0.913,6.445,1.516,0.997
2.971,0.157,3.468,0.01,0.917,6.7,1.494,0.997
2.964,0.168,3.435,0.013,0.917,6.78,1.48,0.997
2.953,0.179,3.411,0.016,0.912,6.755,1.475,0.997
2.939,0.19,3.396,0.018,0.918,6.74,1.478,0.997
2.94,0.201,3.381,0.017,0.947,6.734,1.485,0.997
2.951,0.201,3.376,0.014,0.97,6.712,1.502,0.997
2.956,0.201,3.37,0.013,0.989,6.716,1.525,0.997
2.943,0.201,3.357,0.018,0.997,6.757,1.551,0.997
2.932,0.201,3.323,0.06,0.981,6.805,1.577,0.997
2.939,0.201,3.305,0.02,0.963,6.837,1.601,0.997
2.965,0.201,3.287,0.012,0.948,6.859,1.619,0.997
2.989,0.201,3.274,0.004,0.946,6.879,1.63,0.997
2.993,0.201,3.256,0.002,0.969,6.9,1.634,0.997
2.978,0.197,3.251,0.007,0.983,6.909,1.63,0.997
2.961,0.194,3.246,0.013,0.985,6.902,1.622,0.997
2.949,0.19,3.247,0.017,0.981,6.9,1.613,0.997
2.944,0.186,3.261,0.018,0.96,6.926,1.606,0.997
2.943,0.183,3.282,0.017,0.956,6.977,1.603,0.997
2.941,0.179,3.313,0.017,0.96,7.038,1.608,0.997
2.94,0.176,3.359,0.017,0.973,7.1,1.62,0.997
2.946,0.172,3.483,0.017,1.003,7.193,1.639,0.997
2.942,0.171,3.548,0.02,1.012,7.445,1.665,0.997
2.924,0.169,3.608,0.441,1.019,8.006,1.693,0.997
2.902,0.167,3.656,2.972,1.019,8.805,1.722,0.997
2.883,0.165,3.707,5.957,1.028,9.591,1.747,0.997
2.863,0.164,3.707,7.797,1.039,9.97,1.767,0.997
2.847,0.162,3.689,8.6,1.053,9.691,1.782,0.997
2.844,0.16,3.656,8.357,1.061,8.82,1.791,0.997
2.857,0.159,3.561,6.429,1.057,7.829,1.792,0.997
2.891,0.161,3.514,1.665,1.041,7.145,1.786,0.997
2.915,0.163,3.473,0.018,1.024,6.982,1.771,0.997
2.955,0.165,3.44,0.009,1.008,7.127,1.748,0.997
2.972,0.167,3.397,0.005,0.995,7.289,1.718,0.997
2.964,0.169,3.385,0.012,0.997,7.34,1.683,0.997
2.951,0.171,3.378,0.016,0.994,7.352,1.646,0.997
2.946,0.173,3.375,0.018,0.987,7.322,1.612,0.997
2.942,0.175,3.371,0.019,0.959,7.242,1.581,0.997
2.94,0.168,3.364,0.02,0.946,7.174,1.555,0.997
2.945,0.162,3.357,0.017,0.942,7.141,1.532,0.997
2.952,0.155,3.347,0.015,0.943,7.068,1.513,0.997
2.963,0.149,3.326,0.011,0.957,6.937,1.495,0.997
3,0.142,3.311,0,0.953,6.864,1.48,0.997
3,0.136,3.293,0,0.943,6.875,1.465,0.997
3,0.129,3.275,0,0.926,6.91,1.451,0.997
3,0.123,3.238,0,0.893,6.912,1.437,0.997
2.997,0.126,3.22,0.001,0.886,6.914,1.422,0.997
2.978,0.13,3.201,0.008,0.882,6.959,1.407,0.997
2.981,0.134,3.177,0.007,0.879,6.976,1.392,0.997
2.997,0.137,3.125,0.001,0.86,6.971,1.377,0.997
3,0.141,3.097,0,0.847,7.005,1.365,0.997
3,0.144,3.067,0,0.83,7.051,1.353,0.997
3,0.148,3.037,0,0.823,7.057,1.345,0.997
2.982,0.151,2.987,0.006,0.832,7.022,1.339,0.997
2.969,0.153,2.969,0.011,0.851,7.003,1.335,0.997
2.987,0.154,2.956,0.005,0.871,7.012,1.333,0.997
3,0.155,2.949,0,0.891,7.026,1.335,0.997
3,0.156,2.942,0,0.908,7.027,1.338,0.997
2.949,0.158,2.941,0.017,0.908,7.003,1.346,0.997
2.932,0.159,2.941,0.036,0.912,6.962,1.357,0.997
2.932,0.16,2.941,0.035,0.915,6.92,1.373,0.997
2.947,0.162,2.936,0.017,0.934,6.889,1.391,0.997
2.963,0.162,2.93,0.012,0.941,6.873,1.41,0.997
2.966,0.162,2.924,0.011,0.944,6.86,1.427,0.997
2.962,0.163,2.916,0.012,0.942,6.837,1.44,0.997
2.954,0.163,2.895,0.014,0.921,6.799,1.447,0.997
2.95,0.163,2.886,0.016,0.919,6.749,1.448,0.997
2.948,0.164,2.879,0.017,0.922,6.696,1.444,0.997
2.941,0.164,2.871,0.02,0.931,6.643,1.436,0.997
2.935,0.164,2.86,0.033,0.943,6.595,1.428,0.997
2.938,0.164,2.853,0.021,0.938,6.571,1.419,0.997
2.951,0.164,2.847,0.017,0.928,6.567,1.409,0.997
2.965,0.164,2.846,0.012,0.917,6.574,1.399,0.997
2.974,0.164,2.851,0.009,0.921,6.571,1.388,0.997
2.976,0.164,2.854,0.008,0.93,6.558,1.376,0.997
2.968,0.164,2.855,0.011,0.94,6.54,1.364,0.997
2.951,0.164,2.855,0.017,0.947,6.509,1.352,0.997
2.935,0.164,2.847,0.021,0.935,6.491,1.341,0.997
2.939,0.164,2.839,0.02,0.92,6.53,1.331,0.997
2.959,0.164,2.829,0.014,0.907,6.579,1.323,0.997
2.973,0.164,2.815,0.009,0.897,6.595,1.317,0.997
2.971,0.164,2.795,0.01,0.909,6.635,1.31,0.997
2.958,0.164,2.79,0.015,0.926,6.72,1.303,0.997
2.948,0.164,2.782,0.018,0.939,6.701,1.295,0.997
2.949,0.164,2.774,0.017,0.943,6.441,1.286,0.997
2.96,0.164,2.755,0.014,0.917,6.141,1.276,0.997
2.978,0.156,2.742,0.008,0.9,5.997,1.266,0.997
2.99,0.148,2.726,0.004,0.887,5.96,1.257,0.997
2.984,0.141,2.706,0.005,0.88,5.931,1.249,0.997
2.966,0.133,2.661,0.012,0.886,5.927,1.241,0.997
2.95,0.125,2.639,0.017,0.883,5.956,1.235,0.997
2.945,0.117,2.618,0.019,0.878,6.007,1.23,0.997
2.947,0.109,2.599,0.018,0.872,6.056,1.227,0.997
2.953,0.101,2.566,0.016,0.863,6.11,1.224,0.997
2.96,0.105,2.556,0.014,0.869,6.19,1.223,0.997
2.962,0.108,2.548,0.013,0.877,6.266,1.222,0.997
2.955,0.112,2.54,0.016,0.886,6.309,1.221,0.997
2.946,0.116,2.523,0.019,0.886,6.348,1.221,0.997
2.946,0.12,2.513,0.019,0.877,6.39,1.22,0.997
2.955,0.123,2.502,0.015,0.861,6.428,1.218,0.997
2.965,0.127,2.492,0.012,0.847,6.492,1.215,0.997
2.969,0.131,2.473,0.011,0.845,6.58,1.212,0.997
2.966,0.134,2.462,0.012,0.857,6.645,1.209,0.997
2.958,0.137,2.449,0.014,0.871,6.689,1.206,0.997
2.949,0.139,2.437,0.018,0.881,6.732,1.203,0.997
2.941,0.142,2.413,0.02,0.871,6.772,1.201,0.997
2.941,0.145,2.401,0.02,0.857,6.801,1.202,0.997
2.948,0.148,2.394,0.018,0.851,6.743,1.203,0.997
2.96,0.151,2.39,0.014,0.856,6.628,1.204,0.997
2.968,0.154,2.388,0.011,0.882,6.58,1.207,0.997
2.971,0.156,2.392,0.01,0.895,6.564,1.21,0.997
2.97,0.158,2.395,0.011,0.901,6.536,1.212,0.997
2.967,0.161,2.4,0.012,0.899,6.457,1.214,0.997
2.966,0.163,2.41,0.012,0.867,6.275,1.215,0.997
2.97,0.165,2.42,0.01,0.853,6.091,1.214,0.997
2.974,0.167,2.433,0.009,0.847,5.95,1.211,0.997
2.974,0.169,2.448,0.009,0.85,5.943,1.206,0.997
2.968,0.172,2.487,0.011,0.875,6.33,1.2,0.997
2.961,0.174,2.508,0.014,0.889,6.949,1.193,0.997
2.952,0.177,2.529,0.016,0.9,7.435,1.187,0.997
2.935,0.179,2.545,0.074,0.905,7.534,1.181,0.997
2.914,0.182,2.565,1.673,0.92,7.425,1.175,0.997
2.902,0.184,2.566,4.029,0.927,7.318,1.17,0.997
2.902,0.187,2.558,4.008,0.93,7.247,1.163,0.998
2.915,0.189,2.541,1.464,0.929,7.14,1.154,0.998
2.938,0.192,2.485,0.021,0.903,7.034,1.14,0.998
2.961,0.193,2.451,0.013,0.88,7.057,1.121,0.998
2.975,0.193,2.414,0.009,0.858,7.118,1.098,0.998
2.981,0.194,2.381,0.007,0.843,7.136,1.074,0.998
2.983,0.194,2.332,0.006,0.838,7.123,1.051,0.998
2.98,0.195,2.314,0.007,0.845,7.113,1.031,0.998
2.977,0.195,2.301,0.008,0.85,7.145,1.015,0.998
2.975,0.196,2.288,0.009,0.846,7.203,1.005,0.998
2.974,0.197,2.264,0.009,0.823,7.238,0.999,0.998
2.972,0.196,2.249,0.01,0.81,7.219,0.996,0.998
2.972,0.195,2.232,0.01,0.802,7.264,0.997,0.998
2.968,0.194,2.215,0.011,0.801,7.628,0.999,0.999
2.955,0.193,2.173,0.015,0.81,8.19,1.001,0.999
2.937,0.192,2.151,0.021,0.808,8.511,1.002,0.999
2.928,0.191,2.129,0.248,0.792,8.38,0.999,0.999
2.935,0.191,2.108,0.047,0.77,7.935,0.994,0.999
2.953,0.19,2.072,0.016,0.728,7.446,0.987,0.999
2.962,0.189,2.059,0.013,0.722,7.181,0.978,0.999
2.961,0.189,2.05,0.013,0.725,7.11,0.967,0.999
2.96,0.189,2.041,0.014,0.733,7.073,0.957,0.999
2.964,0.188,2.021,0.012,0.748,6.821,0.948,0.999
2.97,0.188,2.011,0.01,0.753,6.384,0.94,0.999
3,0.187,2.002,0,0.754,6.093,0.933,0.999
3,0.187,1.997,0,0.756,6.041,0.93,0.999
3,0.187,1.987,0,0.78,6.03,0.932,0.999
3,0.182,1.986,0,0.802,6.01,0.943,0.999
3,0.177,1.985,0,0.831,6.162,0.963,0.999
3,0.172,1.986,0,0.858,6.553,0.996,0.999
2.989,0.167,1.988,0.004,0.891,7.092,1.043,0.999
2.976,0.162,1.992,0.008,0.895,7.568,1.1,0.999
2.957,0.157,1.994,0.015,0.901,7.771,1.166,0.999
2.936,0.152,1.999,0.021,0.912,7.651,1.232,0.999
2.926,0.147,2.021,0.156,0.937,7.374,1.293,0.999
2.932,0.146,2.037,0.028,0.946,7.135,1.34,0.999
2.944,0.146,2.055,0.017,0.946,6.958,1.373,0.999
2.954,0.145,2.076,0.014,0.938,6.733,1.393,0.999
2.951,0.144,2.128,0.012,0.927,6.394,1.407,0.999
2.94,0.143,2.164,0.014,0.929,6.057,1.42,0.999
2.935,0.142,2.206,0.017,0.936,5.903,1.437,0.999
2.93,0.141,2.258,0.02,0.948,5.907,1.458,0.999
2.929,0.14,2.379,0.021,0.972,5.899,1.482,0.999
2.927,0.141,2.445,0.021,0.973,5.832,1.507,0.999
2.923,0.142,2.516,0.029,0.962,5.774,1.527,0.999
2.917,0.143,2.591,0.126,0.944,5.764,1.541,0.999
2.911,0.144,2.75,0.383,0.907,5.784,1.546,0.999
2.908,0.145,2.833,0.643,0.898,5.778,1.545,0.999
2.907,0.146,2.919,0.895,0.896,5.746,1.542,0.999
2.904,0.147,3.007,1.318,0.897,5.78,1.538,0.999
2.905,0.148,3.185,1.291,0.898,5.955,1.539,0.999
2.913,0.15,3.268,0.539,0.9,6.234,1.548,0.998
2.925,0.152,3.349,0.051,0.907,6.551,1.572,1
2.93,0.154,3.427,0.02,0.924,6.922,1.614,1.001
2.919,0.155,3.575,0.103,0.981,7.35,1.676,1.002
2.899,0.157,3.64,0.998,1.014,7.688,1.758,1.002
2.879,0.159,3.696,2.44,1.042,7.737,1.855,1.002
2.867,0.161,3.743,2.648,1.06,7.509,1.958,1.002
2.844,0.163,3.798,1.415,1.071,7.267,2.05,1.002
2.834,0.165,3.809,0.597,1.074,7.192,2.119,1.003
2.833,0.167,3.811,0.663,1.073,7.211,2.154,1.004
2.837,0.169,3.8,1.212,1.07,7.222,2.155,1.004
2.84,0.171,3.767,1.543,1.062,7.22,2.13,1.004
2.842,0.173,3.748,0.574,1.05,7.217,2.088,1.004
2.861,0.175,3.733,0.024,1.032,7.203,2.038,1.004
2.906,0.177,3.725,0.017,1.01,7.172,1.987,1.004
2.923,0.179,3.738,0.014,0.983,7.128,1.939,1.004
2.914,0.18,3.764,0.016,0.982,7.088,1.897,1.004
2.931,0.18,3.805,0.02,0.991,7.06,1.866,1.004
2.926,0.18,3.86,0.088,1.01,7.028,1.847,1.004
2.922,0.181,3.99,0.146,1.037,6.972,1.842,1.005
2.92,0.181,4.052,0.074,1.041,6.902,1.85,1.005
2.917,0.182,4.105,0.121,1.041,6.832,1.872,1.005
2.902,0.182,4.145,0.702,1.041,6.762,1.901,1.005
2.883,0.183,4.179,2.465,1.042,6.684,1.934,1.005
2.872,0.182,4.175,3.819,1.044,6.607,1.961,1.005
2.871,0.181,4.158,3.484,1.037,6.547,1.98,1.005
2.876,0.181,4.133,2.366,1.026,6.5,1.981,1.005
2.865,0.18,4.083,1.932,0.996,6.459,1.966,1.005
2.867,0.18,4.061,2.483,0.987,6.434,1.937,1.004
2.883,0.179,4.042,2.568,0.982,6.415,1.899,1.003
2.903,0.179,4.024,1.284,0.979,6.388,1.857,1.003
2.917,0.178,3.989,0.462,0.974,6.357,1.819,1.003
2.917,0.179,3.975,0.404,0.97,6.342,1.785,1.003
2.914,0.18,3.965,0.46,0.963,6.352,1.758,1.003
2.918,0.181,3.963,0.244,0.953,6.372,1.74,1.003
2.928,0.181,3.99,0.029,0.949,6.381,1.73,1.003
2.938,0.182,4.018,0.019,0.957,6.373,1.73,1.003
2.942,0.183,4.053,0.018,0.971,6.364,1.742,1.003
2.942,0.184,4.092,0.018,0.99,6.383,1.766,1.003
2.934,0.185,4.179,0.02,1.019,6.441,1.801,1.003
2.922,0.185,4.218,0.054,1.023,6.536,1.847,1.003
2.915,0.185,4.25,0.099,1.026,6.701,1.902,1.003
2.904,0.185,4.284,0.022,1.03,6.873,1.961,1.003
2.899,0.185,4.332,0.021,1.043,6.926,2.023,1.003
2.891,0.185,4.349,0.146,1.055,6.911,2.079,1.003
2.887,0.185,4.36,1.873,1.062,6.911,2.124,1.003
2.874,0.185,4.362,4.754,1.062,6.918,2.152,1.003
2.872,0.185,4.335,5.915,1.044,6.919,2.158,1.003
2.88,0.184,4.309,4.524,1.032,6.847,2.138,1.003
2.892,0.184,4.279,1.64,1.024,6.628,2.096,1.003
2.906,0.183,4.244,0.078,1.02,6.328,2.037,1.003
2.914,0.183,4.178,0.017,1.021,6.054,1.968,1.003
2.928,0.182,4.149,0.013,1.02,5.834,1.898,1.003
2.94,0.182,4.126,0.012,1.016,5.698,1.836,1.003
2.94,0.181,4.109,0.014,1.014,5.641,1.786,1.003
2.934,0.181,4.085,0.017,1.014,5.647,1.746,1.003
2.929,0.179,4.075,0.014,1.022,5.715,1.72,1.003
2.974,0.177,4.065,0.005,1.034,5.845,1.72,1.003
2.962,0.175,4.051,0.007,1.044,6.014,1.694,1.003
2.963,0.173,4.006,0.009,1.049,6.203,1.687,1.003
2.961,0.171,3.971,0.011,1.041,6.382,1.678,1.003
2.958,0.169,3.931,0.012,1.025,6.529,1.665,1.003
2.961,0.167,3.89,0.012,1.008,6.617,1.642,1.003
2.961,0.165,3.808,0.011,0.976,6.573,1.613,1.003
2.959,0.163,3.767,0.012,0.962,6.34,1.578,1.003
2.959,0.161,3.726,0.013,0.952,6.093,1.54,1.003
2.967,0.159,3.681,0.011,0.943,6.021,1.501,1.003
2.978,0.158,3.589,0.008,0.93,6.16,1.466,1.003
2.979,0.156,3.539,0.008,0.928,6.359,1.437,1.003
2.971,0.154,3.484,0.01,0.931,6.494,1.415,1.003
2.959,0.153,3.432,0.014,0.939,6.564,1.401,1.003
2.951,0.151,3.335,0.017,0.956,6.63,1.392,1.003
2.945,0.153,3.296,0.017,0.958,6.699,1.388,1.003
2.949,0.156,3.267,0.016,0.953,6.764,1.386,1.003
2.96,0.159,3.244,0.013,0.941,6.825,1.384,1.003
2.971,0.162,3.208,0.01,0.923,6.877,1.38,1.003
2.981,0.164,3.191,0.007,0.919,6.904,1.373,1.003
2.99,0.167,3.178,0.003,0.915,6.918,1.366,1.003
2.993,0.17,3.163,0.003,0.913,7.045,1.359,1.003
2.988,0.172,3.132,0.004,0.904,7.409,1.354,1.003
2.982,0.175,3.112,0.006,0.898,7.918,1.354,1.003
2.975,0.178,3.093,0.009,0.891,8.182,1.36,1.003
2.962,0.181,3.072,0.013,0.893,8.032,1.37,1.003
2.945,0.183,3.032,0.019,0.911,7.68,1.385,1.003
2.932,0.186,3.012,0.132,0.927,7.35,1.399,1.003
2.931,0.189,2.989,0.134,0.94,7.122,1.41,1.003
2.94,0.192,2.965,0.02,0.947,6.955,1.415,1.003
2.953,0.194,2.922,0.014,0.942,6.862,1.414,1.003
2.962,0.195,2.901,0.011,0.935,6.84,1.408,1.003
2.958,0.196,2.879,0.009,0.928,6.823,1.4,1.003
2.96,0.197,2.86,0.01,0.921,6.801,1.389,1.003
2.965,0.198,2.823,0.01,0.913,6.761,1.38,1.003
2.969,0.199,2.804,0.009,0.903,6.696,1.374,1.003
2.973,0.2,2.787,0.008,0.893,6.634,1.371,1.003
2.973,0.201,2.773,0.009,0.88,6.612,1.374,1.003
2.972,0.202,2.755,0.009,0.873,6.593,1.382,1.003
2.976,0.196,2.755,0.007,0.879,6.439,1.394,1.003
2.983,0.189,2.765,0.004,0.883,6.21,1.411,1.003
2.982,0.183,2.783,0.004,0.888,6.216,1.429,1.003
2.974,0.176,2.837,0.007,0.904,6.278,1.451,1.003
2.965,0.17,2.87,0.01,0.913,6.287,1.473,1.003
2.956,0.163,2.906,0.012,0.924,6.309,1.493,1.003
2.953,0.157,2.942,0.014,0.935,6.369,1.51,1.003
2.952,0.15,2.997,0.015,0.963,6.434,1.523,1.003
2.954,0.154,3.013,0.014,0.975,6.49,1.529,1.003
2.958,0.157,3.022,0.014,0.98,6.575,1.528,1.003
2.963,0.161,3.02,0.013,0.978,6.688,1.52,1.003
2.967,0.164,3.011,0.011,0.942,6.785,1.508,1.003
2.97,0.168,3.007,0.01,0.928,6.792,1.494,1.003
2.971,0.172,3.008,0.01,0.921,6.661,1.479,1.003
2.971,0.175,3.013,0.01,0.919,6.517,1.464,1.003
2.973,0.179,3.034,0.009,0.93,6.503,1.451,1.003
2.977,0.181,3.046,0.008,0.93,6.502,1.44,1.003
2.979,0.183,3.058,0.007,0.929,6.605,1.428,1.003
2.981,0.185,3.067,0.007,0.923,6.785,1.416,1.003
2.983,0.187,3.079,0.006,0.919,6.779,1.404,1.003
2.984,0.189,3.082,0.006,0.925,6.733,1.394,1.003
2.982,0.192,3.083,0.006,0.938,6.768,1.385,1.003
2.975,0.194,3.082,0.009,0.95,6.81,1.379,1.003
2.968,0.196,3.08,0.011,0.957,6.802,1.375,1.003
2.966,0.201,3.077,0.012,0.953,6.752,1.373,1.003
2.97,0.206,3.075,0.011,0.948,6.668,1.372,1.003
2.978,0.211,3.072,0.008,0.942,6.571,1.37,1.003
2.989,0.216,3.072,0.004,0.941,6.503,1.365,1.003
2.997,0.221,3.069,0.001,0.94,6.456,1.356,1.003
2.999,0.226,3.061,0,0.937,6.341,1.341,1.003
2.994,0.231,3.048,0.002,0.93,5.907,1.319,1.003
2.989,0.236,3.002,0.004,0.904,5.168,1.294,1.003
2.989,0.236,2.962,0.004,0.889,4.443,1.266,1.003
2.992,0.236,2.917,0.003,0.879,3.989,1.239,1.003
2.994,0.236,2.868,0.002,0.876,3.847,1.215,1.003
2.994,0.236,2.772,0.002,0.88,3.829,1.196,1.003
2.995,0.236,2.728,0.002,0.882,3.831,1.184,1.003
2.998,0.236,2.689,0.001,0.882,3.83,1.177,1.003
2.999,0.236,2.656,0,0.88,3.821,1.177,1.003
2.995,0.236,2.612,0.002,0.881,3.811,1.179,1.003
2.989,0.238,2.603,0.004,0.892,3.845,1.184,1.003
2.987,0.24,2.599,0.004,0.905,3.924,1.189,1.003
2.99,0.242,2.594,0.004,0.918,3.905,1.194,1.003
2.993,0.244,2.588,0.002,0.929,3.792,1.195,1.003
2.995,0.246,2.586,0.002,0.921,3.736,1.188,1.003
2.999,0.248,2.58,0,0.909,3.709,1.179,1.003
3,0.25,2.573,0,0.898,3.691,1.168,1.003
3,0.252,2.548,0,0.887,3.695,1.157,1.003
3,0.254,2.532,0,0.884,3.73,1.146,1.003
2.997,0.255,2.515,0.001,0.879,3.807,1.138,1.003
2.99,0.256,2.497,0.004,0.877,3.878,1.132,1.003
2.988,0.257,2.457,0.004,0.877,3.914,1.128,1.003
2.987,0.259,2.437,0.004,0.881,3.94,1.127,1.003
2.99,0.26,2.42,0.003,0.889,3.972,1.129,1.003
2.998,0.261,2.402,0.001,0.894,4.029,1.131,1.003
3,0.262,2.374,0,0.903,4.099,1.136,1.003
3,0.26,2.362,0,0.898,4.15,1.141,1.003
3,0.258,2.352,0,0.89,4.182,1.148,1.003
3,0.255,2.344,0,0.88,4.193,1.157,1.003
2.996,0.253,2.34,0.001,0.87,4.179,1.168,1.003
2.99,0.251,2.344,0.004,0.871,4.169,1.18,1.003
2.981,0.249,2.351,0.007,0.879,4.166,1.194,1.002
2.971,0.246,2.361,0.01,0.888,4.122,1.209,1.003
2.965,0.244,2.393,0.012,0.892,4.089,1.224,1.003
2.964,0.249,2.413,0.012,0.887,4.093,1.239,1.003
2.967,0.254,2.433,0.012,0.883,4.099,1.252,1.003
2.97,0.259,2.457,0.011,0.882,4.091,1.264,1.003
2.972,0.264,2.507,0.01,0.897,4.081,1.273,1.003
2.976,0.269,2.53,0.009,0.913,4.077,1.28,1.003
2.98,0.274,2.549,0.007,0.921,4.07,1.283,1.002
2.983,0.28,2.562,0.006,0.923,4.045,1.282,1.002
2.983,0.285,2.577,0.006,0.914,3.996,1.277,1.002
2.98,0.285,2.58,0.007,0.909,3.957,1.266,1.002
2.977,0.286,2.581,0.008,0.901,3.94,1.252,1.002
2.975,0.287,2.58,0.009,0.892,3.927,1.236,1.002
2.976,0.288,2.564,0.008,0.883,3.896,1.218,1.002
2.979,0.289,2.555,0.007,0.877,3.85,1.2,1.002
2.984,0.289,2.548,0.006,0.87,3.846,1.183,1.002
2.986,0.29,2.541,0.005,0.862,3.857,1.17,1.002
2.987,0.291,2.525,0.005,0.851,3.86,1.16,1.002
2.989,0.279,2.518,0.004,0.853,3.896,1.154,1.002
2.991,0.268,2.514,0.003,0.857,3.937,1.152,1.002
2.99,0.256,2.509,0.003,0.861,3.957,1.152,1.001
2.989,0.244,2.5,0.004,0.858,3.973,1.156,1.001
2.989,0.233,2.493,0.004,0.855,3.998,1.162,1.001
2.992,0.221,2.479,0.003,0.855,4.031,1.168,1.001
2.995,0.209,2.47,0.002,0.856,4.065,1.174,1.001
3,0.198,2.459,0,0.872,4.054,1.18,1.001
3,0.202,2.459,0,0.882,3.981,1.186,1.001
3,0.206,2.459,0,0.887,3.917,1.192,1.001
3,0.21,2.457,0,0.89,3.888,1.199,1.001
3,0.215,2.447,0,0.878,3.855,1.206,1.001
3,0.219,2.443,0,0.875,3.798,1.215,1.001
3,0.223,2.44,0,0.877,3.744,1.226,1.001
3,0.227,2.439,0,0.884,3.711,1.239,0.996
2.999,0.231,2.44,0,0.905,3.7,1.252,0.996
2.99,0.233,2.445,0.002,0.916,3.802,1.266,0.996
2.984,0.234,2.455,0.004,0.926,4,1.277,0.996
2.979,0.236,2.47,0.006,0.933,4.137,1.285,0.996
2.976,0.237,2.508,0.007,0.938,4.147,1.287,0.996
2.981,0.239,2.527,0.006,0.938,4.087,1.282,0.996
2.988,0.241,2.548,0.004,0.938,4.006,1.272,0.996
2.989,0.242,2.566,0.004,0.932,3.919,1.258,0.996
2.984,0.244,2.592,0.006,0.905,3.875,1.242,0.996
2.98,0.245,2.601,0.007,0.928,3.963,1.227,0.996
2.983,0.246,2.604,0.006,0.954,4.177,1.213,0.996
2.99,0.248,2.602,0.003,0.981,4.381,1.203,0.996
2.998,0.249,2.6,0.001,1.031,4.442,1.198,0.996
3,0.25,2.599,0,1.047,4.327,1.197,0.996
2.997,0.252,2.597,0.001,1.051,4.113,1.199,0.996
2.989,0.253,2.597,0.004,1.043,3.919,1.205,0.996
2.985,0.254,2.602,0.005,0.999,3.852,1.212,0.996
2.987,0.258,2.605,0.005,0.964,3.897,1.218,0.996
2.99,0.261,2.61,0.004,0.931,3.942,1.223,0.996
2.989,0.264,2.617,0.004,0.939,3.988,1.227,0.996
2.986,0.267,2.623,0.005,0.946,4.088,1.227,0.996
2.984,0.27,2.623,0.005,0.939,4.166,1.225,0.996
